,loss,mean_absolute_percentage_error
0,65783.84375,39.14108657836914
1,25787.15234375,21.50087547302246
2,25775.568359375,21.543954849243164
3,25775.96484375,21.54854965209961
4,25776.42578125,21.537918090820312
5,25779.451171875,21.54569435119629
6,25779.28515625,21.544387817382812
7,25781.30859375,21.54812240600586
8,25779.69140625,21.543012619018555
9,25780.244140625,21.547409057617188
10,25779.595703125,21.547122955322266
11,25778.455078125,21.54424285888672
12,25779.830078125,21.544109344482422
13,25778.5625,21.55162239074707
14,25777.994140625,21.540569305419922
15,25778.095703125,21.54928207397461
16,25779.966796875,21.53569793701172
17,25779.58203125,21.54950714111328
18,25778.990234375,21.54271697998047
19,25778.912109375,21.544330596923828
20,25779.111328125,21.55048179626465
21,25779.87890625,21.53729820251465
22,25776.365234375,21.55027198791504
23,25778.650390625,21.535642623901367
24,25779.056640625,21.54806900024414
25,25779.5390625,21.542808532714844
26,25780.126953125,21.536670684814453
27,25779.576171875,21.541996002197266
28,25777.005859375,21.54067039489746
29,25777.921875,21.549278259277344
30,25778.728515625,21.54219627380371
31,25779.23046875,21.54419708251953
32,25777.935546875,21.543710708618164
33,25780.70703125,21.54596710205078
34,25776.140625,21.542217254638672
35,25780.009765625,21.54701805114746
36,25779.025390625,21.545631408691406
37,25775.96484375,21.534326553344727
38,25778.38671875,21.54916763305664
39,25779.212890625,21.548524856567383
40,25778.9765625,21.540239334106445
41,25778.216796875,21.545978546142578
42,25778.728515625,21.53879737854004
43,25777.8203125,21.55004119873047
44,25779.703125,21.54557228088379
45,25778.47265625,21.542800903320312
46,25778.501953125,21.543582916259766
47,25778.71875,21.5441951751709
48,25777.630859375,21.54096794128418
49,25778.21484375,21.55028533935547
